SYNC SITES BY STACK rank 0 (per step over 5 steps): op | count/step | self cpu ms/step | stack (mace frames)
  aten::gt                        120.0     1.78     0.58  
  aten::detach_                   116.8     0.14     0.00  
  aten::einsum                    104.0    10.97    58.62  
  aten::matmul                     98.4     3.09     2.31  
  aten::divide_                    97.6     1.64     0.31  
  aten::_fft_c2c                   96.8     4.94    13.61  
  aten::expand_as                  96.4     1.50     0.00  
  aten::mean                       93.2     2.42     2.79  
  aten::ge                         89.0     1.64     0.96  
  aten::lerp_                      79.0     0.59     0.17  
  aten::addcmul_                   79.0     0.57     0.52  
  aten::index_put                  75.6    22.38     1.46  
  aten::_fft_c2r                   68.6     6.56    10.66  
  aten::square                     68.4     1.49     0.24  
  aten::stack                      67.2     2.63    11.75  
  aten::sinh                       60.8     0.78     0.23  
  aten::cosh                       60.6     0.88     0.21  
